12482306,48759,BANKNIFTY2341339500CE,"BANKNIFTY",0,2023-04-13,39500,0.05,25,CE,NFO-OPT,NFO
12482562,48760,BANKNIFTY2341339500PE,"BANKNIFTY",0,2023-04-13,39500,0.05,25,PE,NFO-OPT,NFO
12483074,48762,BANKNIFTY2341339600CE,"BANKNIFTY",0,2023-04-13,39600,0.05,25,CE,NFO-OPT,NFO
12483330,48763,BANKNIFTY2341339600PE,"BANKNIFTY",0,2023-04-13,39600,0.05,25,PE,NFO-OPT,NFO
12483586,48764,BANKNIFTY2341339700CE,"BANKNIFTY",0,2023-04-13,39700,0.05,25,CE,NFO-OPT,NFO
12483842,48765,BANKNIFTY2341339700PE,"BANKNIFTY",0,2023-04-13,39700,0.05,25,PE,NFO-OPT,NFO
12484098,48766,BANKNIFTY2341339800CE,"BANKNIFTY",0,2023-04-13,39800,0.05,25,CE,NFO-OPT,NFO
12484354,48767,BANKNIFTY2341339800PE,"BANKNIFTY",0,2023-04-13,39800,0.05,25,PE,NFO-OPT,NFO
12484610,48768,BANKNIFTY2341339900CE,"BANKNIFTY",0,2023-04-13,39900,0.05,25,CE,NFO-OPT,NFO
12484866,48769,BANKNIFTY2341339900PE,"BANKNIFTY",0,2023-04-13,39900,0.05,25,PE,NFO-OPT,NFO
12485122,48770,BANKNIFTY2341340000CE,"BANKNIFTY",0,2023-04-13,40000,0.05,25,CE,NFO-OPT,NFO
12485378,48771,BANKNIFTY2341340000PE,"BANKNIFTY",0,2023-04-13,40000,0.05,25,PE,NFO-OPT,NFO
12485634,48772,BANKNIFTY2341340100CE,"BANKNIFTY",0,2023-04-13,40100,0.05,25,CE,NFO-OPT,NFO
12486402,48775,BANKNIFTY2341340100PE,"BANKNIFTY",0,2023-04-13,40100,0.05,25,PE,NFO-OPT,NFO
12486658,48776,BANKNIFTY2341340200CE,"BANKNIFTY",0,2023-04-13,40200,0.05,25,CE,NFO-OPT,NFO
12486914,48777,BANKNIFTY2341340200PE,"BANKNIFTY",0,2023-04-13,40200,0.05,25,PE,NFO-OPT,NFO
12487170,48778,BANKNIFTY2341340300CE,"BANKNIFTY",0,2023-04-13,40300,0.05,25,CE,NFO-OPT,NFO
12487426,48779,BANKNIFTY2341340300PE,"BANKNIFTY",0,2023-04-13,40300,0.05,25,PE,NFO-OPT,NFO
12487682,48780,BANKNIFTY2341340400CE,"BANKNIFTY",0,2023-04-13,40400,0.05,25,CE,NFO-OPT,NFO
